"(n,m)"	dt(nm)	R(deg)	mod	lambda 11(nm)	nu 11(cm-1)	E11(eV)	lambda 22(nm)	nu 22(cm-1)	E22(eV)				0.02	eV		0.05	eV
"(18, 10)"	1.951	20.63	2	2218	4509	0.559	1288	7765	0.963								
"(19, 0)"	1.508	0	1	1867	5357	0.664	953	"10,492"	1.301								
"(19, 2)"	1.594	4.95	2	1816	5507	0.683	1114	8979	1.113								
"(19, 3)"	1.641	7.22	1	1994	5015	0.622	1033	9683	1.201								
"(19, 5)"	1.741	11.39	2	1979	5052	0.626	1187	8422	1.044								
"(19, 6)"	1.795	13.29	1	2135	4684	0.581	1130	8853	1.098								
"(19, 8)"	1.907	16.76	2	2164	4621	0.573	1271	7869	0.976								
"(19, 9)"	1.966	18.35	1	2295	4358	0.54	1238	8076	1.001								
"(20, 0)"	1.588	0	2	1808	5531	0.686	1113	8989	1.114								
"(20, 1)"	1.629	2.42	1	1990	5024	0.623	1023	9775	1.212								
"(20, 3)"	1.719	6.89	2	1952	5124	0.635	1181	8466	1.05								
"(20, 4)"	1.768	8.95	1	2122	4712	0.584	1108	9025	1.119								
"(20, 6)"	1.872	12.73	2	2121	4715	0.585	1258	7947	0.985								
"(20, 7)"	1.927	14.46	1	2269	4406	0.546	1208	8280	1.027								
"(21, 1)"	1.708	2.31	2	1938	5161	0.64	1178	8487	1.052								
"(21, 2)"	1.752	4.5	1	2116	4727	0.586	1095	9134	1.132								
"(21, 4)"	1.847	8.57	2	2090	4786	0.593	1250	8000	0.992								
"(21, 5)"	1.897	10.44	1	2253	4439	0.55	1184	8445	1.047								
"(22, 0)"	1.747	0	1	2114	4731	0.587	1090	9171	1.137								
"(22, 2)"	1.831	4.31	2	2070	4830	0.599	1245	8030	0.996								
"(22, 3)"	1.877	6.31	1	2243	4459	0.553	1168	8560	1.061								
"(22, 5)"	1.975	10.02	2	2229	4487	0.556	1320	7575	0.939								
"(23, 0)"	1.826	0	2	2064	4845	0.601	1244	8039	0.997								
"(23, 1)"	1.867	2.11	1	2238	4467	0.554	1160	8620	1.069								
"(23, 3)"	1.956	6.05	2	2205	4535	0.562	1314	7612	0.944								
"(24, 1)"	1.946	2.02	2	2193	4560	0.565	1311	7631	0.946								
"(24, 2)"	1.99	3.96	1	2365	4229	0.524	1231	8121	1.007								
"(25, 0)"	1.985	0	1	2362	4233	0.525	1228	8146	1.01								
